depth_label,season,date,home_team,away_team,result,bayes_p_home,bayes_p_draw,bayes_p_away,elo_p_home,elo_p_draw,elo_p_away,baseline_p_home,baseline_p_draw,baseline_p_away,bayes_ce,elo_ce,baseline_ce,week
all (28 seasons),2021-22,2021-08-13,Brentford,Arsenal,H,0.278081028847204,0.2839125431377686,0.43800642801502737,0.36451395249392665,0.25842280636801185,0.3770632411380615,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.279842737087429,1.0091904498190385,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-14,Man United,Leeds,H,0.6168763056184494,0.24062100582021206,0.14250268856133844,0.4218963501933376,0.25842280636801185,0.31968084343865055,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.4830867522925588,0.8629956107701885,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-14,Burnley,Brighton,A,0.46961135951125205,0.27745590724695457,0.25293273324179333,0.3917730916873949,0.25842280636801185,0.34980410194459327,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.3746317021206944,1.0503819899238143,1.2634642291339284,2021-W32
all (28 seasons),2021-22,2021-08-14,Chelsea,Crystal Palace,H,0.6857387405747618,0.2136590860113993,0.100602173413839,0.4366870666635058,0.25842280636801185,0.30489012696848233,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.3772585684391955,0.8285384349962669,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-14,Everton,Southampton,H,0.5557110879502889,0.25948651479734447,0.18480239725236688,0.4059144310594367,0.25842280636801185,0.33566276257255145,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.5875067457726143,0.9016129025309599,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-14,Leicester,Wolves,H,0.5435783368971475,0.26341141128778844,0.19301025181506404,0.4092869671339053,0.25842280636801185,0.3322902264980829,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.6095814486818115,0.893338737833143,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-14,Watford,Aston Villa,H,0.4123830071155411,0.28253266038257374,0.3050843325018851,0.38682707621336304,0.25842280636801185,0.3547501174186251,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.8858027325487484,0.9497775173013113,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-14,Norwich,Liverpool,A,0.05969330606097149,0.17079508864875698,0.7695116052902717,0.32544388328612733,0.25842280636801185,0.4161333103458608,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.26199924421813564,0.876749612494266,1.2634642291339284,2021-W32
all (28 seasons),2021-22,2021-08-15,Tottenham,Man City,H,0.25142549736633774,0.2824068232783323,0.4661676793553299,0.3757885917076866,0.25842280636801185,0.36578860192430157,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.3806085664638796,0.9787285498140539,0.7789140023173704,2021-W32
all (28 seasons),2021-22,2021-08-15,Newcastle,West Ham,A,0.3710211957161974,0.2878879864020581,0.3410908178817444,0.35840660885143144,0.25842280636801185,0.3831705847805567,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.0756065090586955,0.9592749978867036,1.2634642291339284,2021-W32
all (28 seasons),2021-22,2021-08-21,Liverpool,Burnley,H,0.7889230492011223,0.1607267007842821,0.05035025001459537,0.4568325150785549,0.25842280636801185,0.2847446785534333,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.23708649242220614,0.7834384430540927,0.7789140023173704,2021-W33
all (28 seasons),2021-22,2021-08-21,Aston Villa,Newcastle,H,0.44761238594179276,0.2777097545615251,0.2746778594966823,0.3997803152070445,0.25842280636801185,0.34179687842494366,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.8038276310286728,0.9168400947286877,0.7789140023173704,2021-W33
all (28 seasons),2021-22,2021-08-21,Crystal Palace,Brentford,D,0.32188415376319107,0.25573003375524245,0.4223858124815663,0.3775144106452222,0.25842280636801185,0.364062782986766,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.3636329465811903,1.3531582510302431,1.3531582510302431,2021-W33
all (28 seasons),2021-22,2021-08-21,Leeds,Everton,D,0.45409882722015354,0.2773592570355969,0.2685419157442495,0.39149609981213845,0.25842280636801185,0.3500810938198497,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.2824416563095737,1.3531582510302431,1.3531582510302431,2021-W33
all (28 seasons),2021-22,2021-08-21,Man City,Norwich,H,0.8810065424427713,0.10040949652213382,0.01858396103509488,0.47009143364255196,0.25842280636801185,0.2714857599894362,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.12669022691828574,0.7548280635334155,0.7789140023173704,2021-W33
all (28 seasons),2021-22,2021-08-21,Brighton,Watford,H,0.4847217636393587,0.2704082911686481,0.24486994519199312,0.3904536184954677,0.25842280636801185,0.3511235751365204,0.4589041095890411,0.25842280636801185,0.28267308404294705,0.7241802358816507,0.9404460914161585,0.7789140023173704,2021-W33
all (28 seasons),2021-22,2021-08-22,Arsenal,Chelsea,A,0.3880016830682325,0.2861399040417774,0.32585841288999007,0.34120636509668506,0.25842280636801185,0.40037082853530304,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.1212923082464399,0.9153640900011212,1.2634642291339284,2021-W33
all (28 seasons),2021-22,2021-08-22,Southampton,Man United,D,0.20630298885645781,0.26525873598178273,0.5284382751617596,0.3602177776094214,0.25842280636801185,0.38135941602256673,0.4589041095890411,0.25842280636801185,0.28267308404294705,1.3270495671320537,1.3531582510302431,1.3531582510302431,2021-W33
