season,date,home_team,away_team,home_goals,away_goals,result,actual_spread,bayes_p_home_win,bayes_p_draw,bayes_p_away_win,bayes_pred_outcome,bayes_pred_spread,elo_pred_spread,elo_pred_home_win_prob
1994-95,1994-08-20,Arsenal,Man City,3,0,H,3,0.5523866661552524,0.29156713184986477,0.15604620199488278,H,0.7316800467875246,0.6737091954756662,0.5531237396112065
1994-95,1994-08-20,Chelsea,Norwich,2,0,H,2,0.3747317925949308,0.3198193401067744,0.3054488672982949,H,0.1626738648046795,0.3043531008867252,0.5240713398777069
1994-95,1994-08-20,Coventry,Wimbledon,1,1,D,0,0.36253382494157044,0.32866528317072186,0.30880089188770776,H,0.13515147556712304,0.2981941603209924,0.5235849585250444
1994-95,1994-08-20,Crystal Palace,Liverpool,1,6,A,-5,0.399623117316772,0.3239040367660255,0.27647284591720234,H,0.2558447496607521,0.31294240472672175,0.5247495744527644
1994-95,1994-08-20,Everton,Aston Villa,2,2,D,0,0.3161824196890392,0.31368467964306757,0.37013290066789317,A,-0.05067565792539164,0.21574965303784252,0.5170702421676728
1994-95,1994-08-20,Ipswich,Nott'm Forest,0,1,A,-1,0.33640231213746014,0.32053115994863735,0.34306652791390246,A,0.030908553265942995,0.21299647520874548,0.5168525751650787
1994-95,1994-08-20,Man United,QPR,2,0,H,2,0.5856048490230169,0.28886260161730976,0.12553254935967317,H,0.8423839821275299,0.7363518517351622,0.5580206998822175
1994-95,1994-08-20,Sheffield Weds,Tottenham,3,4,A,-1,0.5385618888909995,0.29009282481745263,0.1713452862915479,H,0.6812604935823332,0.6157490136786237,0.5485836012619286
1994-95,1994-08-20,Southampton,Blackburn,1,1,D,0,0.1777266942611687,0.2968674132548112,0.5254058924840201,A,-0.5590603227461837,-0.07252365191443046,0.49425990632355327
1994-95,1994-08-20,West Ham,Leeds,0,0,D,0,0.2829073143193718,0.3298680683187973,0.387224617361831,A,-0.1390420767341899,0.08251860169416846,0.5065310882778178
1994-95,1994-08-21,Leicester,Newcastle,1,3,A,-2,0.2990240469027599,0.33640724320631116,0.3645687098909289,A,-0.07220447757049997,0.03619447369571638,0.5028648105607628
1994-95,1994-08-22,Nott'm Forest,Man United,1,1,D,0,0.2012569784981108,0.32933562894894514,0.46940739255294395,A,-0.4231568511856604,-0.05914447235951974,0.4953187712100137
1994-95,1994-08-23,Blackburn,Leicester,3,0,H,3,0.5474381251106601,0.2997413463237622,0.1528205285655776,H,0.7281810598626424,0.6886673286346071,0.5542940344904659
1994-95,1994-08-23,Leeds,Arsenal,1,0,H,1,0.38298081746121426,0.34410737664475827,0.2729118058940274,H,0.23189423089654232,0.3295657251123802,0.5260619351108659
1994-95,1994-08-23,Wimbledon,Ipswich,1,1,D,0,0.5173089214735744,0.29546761138573885,0.18722346714068672,H,0.6165252341469935,0.6219938129963587,0.5490731716822838
1994-95,1994-08-24,Aston Villa,Southampton,1,1,D,0,0.516150173974747,0.28880902984868084,0.19504079617657208,H,0.6013735127531672,0.49876145254194276,0.539395818859133
1994-95,1994-08-24,Man City,West Ham,3,0,H,3,0.3875017384015515,0.31609628387200217,0.29640197772644633,H,0.20074512967888541,0.3011698915473889,0.5238199624054726
1994-95,1994-08-24,Newcastle,Coventry,4,0,H,4,0.5011702720176792,0.30977282646171567,0.18905690152060517,H,0.5844608253020055,0.6984778977233667,0.5550612681645027
1994-95,1994-08-24,Norwich,Crystal Palace,0,0,D,0,0.39653587493934084,0.3238127704611438,0.27965135459951534,H,0.24498329181056333,0.42834911960714883,0.5338525472733441
1994-95,1994-08-24,QPR,Sheffield Weds,3,2,H,1,0.35834128209503013,0.33204624211868305,0.3096124757862867,H,0.12626113330930921,0.2048784543019792,0.5162107252641764
1994-95,1994-08-24,Tottenham,Everton,2,1,H,1,0.4337076223844016,0.30111316085578516,0.2651792167598132,H,0.3359718809516589,0.4824237669511314,0.5381104377495093
1994-95,1994-08-27,Aston Villa,Crystal Palace,1,1,D,0,0.4006035187330941,0.3230884330505193,0.2763080482163867,H,0.25788192961175693,0.408783577911845,0.5323106885202128
1994-95,1994-08-27,Blackburn,Coventry,4,0,H,4,0.5452609785256635,0.2992744591983985,0.1554645622759378,H,0.719848505733218,0.7085619187584971,0.5558496136020755
1994-95,1994-08-27,Leeds,Chelsea,2,3,A,-1,0.5335305775574367,0.2975672749056358,0.1689021475369274,H,0.6763044786352186,0.608303455974196,0.5479997727324377
1994-95,1994-08-27,Man City,Everton,4,0,H,4,0.4615368886755081,0.2993383613921942,0.23912474993229763,H,0.4295374055457435,0.4654789277294226,0.5367767530617065
1994-95,1994-08-27,Newcastle,Southampton,5,1,H,4,0.6117564726221685,0.26320514015790386,0.1250383872199276,H,0.8902013581096426,0.9015350232878145,0.5708771759481153
1994-95,1994-08-27,Norwich,West Ham,1,0,H,1,0.4262416221770065,0.3153588398496908,0.25839953797330284,H,0.3338911873001929,0.4562564261005677,0.5360506512788076
1994-95,1994-08-27,Nott'm Forest,Leicester,1,0,H,1,0.4027067364220311,0.32644253675209367,0.27085072682587524,H,0.2707851080963269,0.44701389267445185,0.5353228189844854
1994-95,1994-08-27,QPR,Ipswich,1,2,A,-1,0.492759886701641,0.3000222985938957,0.20721781470446332,H,0.5389856374579867,0.5687444654896436,0.544895655571993
1994-95,1994-08-27,Tottenham,Man United,0,1,A,-1,0.15428379623395264,0.2970519338675545,0.548664269898493,A,-0.6400693798786594,-0.09645960953702425,0.4923656838206087
