depth_label,n_train_seasons,n_train_matches,n_test_matches,bayes_ce,elo_ce,baseline_ce
all (28 seasons),28,10804,309,0.9688638448221,1.0531287997549093,1.080507724572058
half (14 seasons),14,5320,309,0.9667119135260881,1.0517792904616052,1.0763756893073517
1 season,0,10804,309,0.9931266369364542,1.061117557657133,1.0777469475578887
